"Patch_ID","Species","Life_Stage","Presence","Presence2","Abundance","Density","Survey_Area","Long_M","Lat_M","Habitat","Mangrove_Dist","Reef_Dist","Depth","Slope","BPI_Broad","Mean_Sum_Temp","Mean_Sum_Sal","Mean_Win_Temp","Mean_Win_Sal","Patch_Area","PA_Ratio","Patch_Neigh_Dist","Area_CRHB","Area_SG","Pred_Density","Object_ID"
1680,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,281342.0084,111535.182,1,6147.331543,3128.99487304688,-9.027405739,0.790856361,-8,30.45166969,35.5182724,23.35327148,36.20892715,7423.39073130162,0.0795060304983607,13.5143016096361,138904.177057254,641214.978549834,0.0564971751412429,259
146,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,167914.4491,29776.3308,1,4862.594238,3335.41625976562,-10.1672802,1.092545986,64,30.43045807,35.58335114,24.35036469,36.03313446,24088.9753481475,0.025876924898029,39.3340630591309,71718.5744532507,207743.15249506,0,41
392,"LUT GRIS","SUBADULT","1","PRESENCE",1.875,0.0105932203389831,177,206659.9188,43278.2533,3,4367.285156,3686.5537109375,-6.861563206,0.24294728,64,30.6105938,35.51118851,23.90589333,36.00511169,3093.08241698804,0.105526213000459,9.14678080337864,89664.0438162197,674153.873360228,0,93
1677,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,283416.7602,114654.2275,1,6074.047363,1819.94946289062,-8.635071754,3.182574272,-8,30.46961975,35.51249313,23.38367844,36.08994675,1521.88354053219,0.10531841302414,12.8857558318362,127230.342165917,658165.515012776,0.00282485875706215,287
6285,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,286167.9363,124801.7371,1,4648.143066,1199.35034179688,-7.092907906,3.322898388,137,30.49072266,35.51097488,23.39348793,36.57271576,6189.14287474104,0.0578795325393106,5.27055781470032,144651.723930034,633001.832139237,0,403
2355,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,284763.1962,119652.3605,3,4809.974609,2765.71069335938,-8.387647629,3.435852766,64,30.49269295,35.51097488,23.34056664,36.27529907,1122.31205726234,0.126044652631732,21.2431795628753,177734.702424168,602292.188024816,0,345
2197,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,284784.8045,121010.7168,1,4641.686035,2895.35522460938,-5.538110733,0.318246335,64,30.49237442,35.51097488,23.31067657,36.39770126,1106.22969052084,0.131911712436064,27.9339064655602,107834.327899757,669421.197231592,0.00282485875706215,362
5986,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,285465.3146,125366.6763,3,3709.112549,1899.47216796875,-9.439142227,1.11884141,-8,30.47928429,35.51097488,23.30265999,36.64069748,479.327618979665,0.194880789496294,13.0448588161815,82476.4731116947,701883.334075232,0.0169491525423729,408
2530,"LUT GRIS","SUBADULT","1","PRESENCE",2.5,0.0141242937853107,177,285237.8624,117311.1635,8,6254.234375,1324.15258789062,-10.7781601,0.560764968,-8,30.48574066,35.51097488,23.44859505,36.02596664,773.401448320222,0.148511884329654,9.13715554619736,129811.736253171,652766.919073483,0.00706214689265537,327
3226,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,283471.9801,114676.7266,3,6107.331543,1768.23376464844,-8.833725929,2.652106762,-8,30.46953583,35.51218033,23.38834572,36.0843544,748.644796181516,0.133787365182396,5.98059211697782,126117.437649492,658442.218851862,0,288
